"cluster","GO_ID","overlap","query_size","term_size","background_size","p_value","p_adj","GO_term","minus_log10_p"
"C6","GO:0071555",4,768,47,13936,0.259050141660048,0.404622566398217,"GO:0071555",0.586616165885409
"C6","GO:0009765",2,768,19,13936,0.281953031228545,0.422363723409533,"GO:0009765",0.54982323202525
"C6","GO:0015979",4,768,49,13936,0.283877134185832,0.422363723409533,"GO:0015979",0.546869587737787
"C6","GO:0006564",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0006564",0.54007105300222
"C6","GO:0006891",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0006891",0.54007105300222
"C6","GO:0008213",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0008213",0.54007105300222
"C6","GO:0009099",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0009099",0.54007105300222
"C6","GO:0009134",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0009134",0.54007105300222
"C6","GO:0016558",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0016558",0.54007105300222
"C6","GO:0016560",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0016560",0.54007105300222
"C6","GO:0018401",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0018401",0.54007105300222
"C6","GO:0019432",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0019432",0.54007105300222
"C6","GO:0032469",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0032469",0.54007105300222
"C6","GO:0032511",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0032511",0.54007105300222
"C6","GO:0090150",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:0090150",0.54007105300222
"C6","GO:1990544",1,768,6,13936,0.288355969806508,0.422363723409533,"GO:1990544",0.54007105300222
"C6","GO:0098869",4,768,50,13936,0.296422439697976,0.43238479840242,"GO:0098869",0.528088922595125
"C6","GO:0006486",5,768,66,13936,0.298434430411961,0.433528205495564,"GO:0006486",0.525151073708317
"C6","GO:0007034",2,768,20,13936,0.302768185953598,0.437132426579642,"GO:0007034",0.518889761241589
"C6","GO:0000209",3,768,35,13936,0.30339219408502,0.437132426579642,"GO:0000209",0.5179955972784
"C6","GO:0008610",2,768,21,13936,0.323472811045083,0.439694253432131,"GO:0008610",0.490162217342503
"C6","GO:0005986",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0005986",0.484668167237021
"C6","GO:0006032",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0006032",0.484668167237021
"C6","GO:0006048",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0006048",0.484668167237021
"C6","GO:0006821",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0006821",0.484668167237021
"C6","GO:0009269",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0009269",0.484668167237021
"C6","GO:0009694",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0009694",0.484668167237021
"C6","GO:0010044",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0010044",0.484668167237021
"C6","GO:0019722",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0019722",0.484668167237021
"C6","GO:0019853",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0019853",0.484668167237021
"C6","GO:0032012",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0032012",0.484668167237021
"C6","GO:0033617",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0033617",0.484668167237021
"C6","GO:0044210",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0044210",0.484668167237021
"C6","GO:0046294",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0046294",0.484668167237021
"C6","GO:0055072",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0055072",0.484668167237021
"C6","GO:0072318",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0072318",0.484668167237021
"C6","GO:0072596",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0072596",0.484668167237021
"C6","GO:0120029",1,768,7,13936,0.327590902698726,0.439694253432131,"GO:0120029",0.484668167237021
"C6","GO:0006888",2,768,22,13936,0.344015920717691,0.459990984899033,"GO:0006888",0.463421458242873
"C6","GO:0006086",1,768,8,13936,0.364665365095695,0.47340179837743,"GO:0006086",0.438105482812103
"C6","GO:0006526",1,768,8,13936,0.364665365095695,0.47340179837743,"GO:0006526",0.438105482812103
"C6","GO:0006782",1,768,8,13936,0.364665365095695,0.47340179837743,"GO:0006782",0.438105482812103
"C6","GO:0008643",1,768,8,13936,0.364665365095695,0.47340179837743,"GO:0008643",0.438105482812103
"C6","GO:0010228",1,768,8,13936,0.364665365095695,0.47340179837743,"GO:0010228",0.438105482812103
"C6","GO:0046777",1,768,8,13936,0.364665365095695,0.47340179837743,"GO:0046777",0.438105482812103
"C6","GO:0070973",1,768,8,13936,0.364665365095695,0.47340179837743,"GO:0070973",0.438105482812103
"C6","GO:0006004",3,768,39,13936,0.364774190251164,0.47340179837743,"GO:0006004",0.437975897942413
"C6","GO:0006633",4,768,58,13936,0.397929939461874,0.503905201301784,"GO:0006633",0.400193384166183
"C6","GO:0000272",1,768,9,13936,0.39969817666997,0.503905201301784,"GO:0000272",0.398267832885696
"C6","GO:0001676",1,768,9,13936,0.39969817666997,0.503905201301784,"GO:0001676",0.398267832885696
